AlunoID,Código,Disciplina,Unidade 1,Unidade 2,Unidade 3,Unidade 4,Unidade 5,Prova Final,Resultado,Faltas,Situação
4,DC/CCN041,INTELIGÊNCIA ARTIFICIAL,"8,9","7,0","7,4",,,,"7,8",8,AM
4,DC/CCN043,LINGUAGENS DE PROGRAMAÇÃO,"7,1","5,8","8,8",,,,"7,2",10,AM
4,DC/CCN030,TEORIA DA COMPUTAÇÃO,"3,2","7,6","3,8",,,"8,5","6,7",10,EF
4,DC/CCN071,TÓPICOS EM ENGENHARIA DE SOFTWARE,"9,0","10,0","9,5",,,,"9,5",8,AM
4,DC/CCN074,TÓPICOS EM REDES DE COMPUTADORES,"7,8","10,0","10,0",,,,"9,3",4,AM
4,DC/CCN045,BANCOS DE DADOS RELACIONAIS,"7,8","4,8","8,5",,,,"7,0",2,AM
4,DC/CCN032,COMPUTAÇÃO GRÁFICA,"7,6","6,7","9,0",,,,"7,8",10,AM
4,CGBEST/CCN013,PROBABILIDADE E ESTATÍSTICA,"5,2","7,2","10,0",,,,"7,5",2,AM
4,DC/CCN061,PROCESSAMENTO DE LINGUAGEM NATURAL,"8,7","8,0","8,5",,,,"8,4",8,AM
4,DC/CCN040,SEGURANÇA EM SISTEMAS,"6,0","7,6","7,3",,,,"7,0",12,AM
4,DC/CCN038,SISTEMAS DISTRIBUÍDOS,"8,5","8,5","7,0",,,,"8,0",12,AM
4,DC/CCN044,ENGENHARIA DE SOFTWARE II,"10,0","8,0","8,5",,,,"8,8",6,AM
4,DC/CCN043,LINGUAGENS DE PROGRAMAÇÃO,"5,1","4,4","3,5",,,"4,0","4,2",12,RN
4,DC/CCN033,SISTEMAS OPERACIONAIS,"9,0","10,0","10,0",,,,"9,7",10,AM
4,DC/CCN039,ENGENHARIA DE SOFTWARE I,"7,0","10,0","8,3",,,,"8,4",12,AM
4,DC/CCN030,TEORIA DA COMPUTAÇÃO,"3,3","5,3","0,5",,,,"3,0",6,RN
4,DC/CCN081,VISÃO COMPUTACIONAL,"5,8","9,8","9,4",,,,"8,3",2,AM
4,DC/CCN039,ENGENHARIA DE SOFTWARE I,"6,5","4,0","3,7",,,"6,3","5,5",11,RN
4,DC/CCN036,PROJETO E ANÁLISE DE ALGORITMOS,"5,3","6,9","8,7",,,,"7,0",12,AM
4,DC/CCN030,TEORIA DA COMPUTAÇÃO,"0,0","0,0","0,0",,,,"0,0",18,RF
4,DC/CCN037,PROCESSAMENTO DIGITAL DE IMAGENS,"4,2","6,3","7,3",,,"6,0","6,0",8,EF
4,DC/CCN034,PROGRAMAÇÃO LINEAR,"5,0","7,5","6,4",,,"7,5","6,9",0,EF
4,DC/CCN035,REDES DE COMPUTADORES,"3,7","6,6","6,9",,,"6,3","6,0",2,EF
4,DC/CCN028,TEORIA E APLICAÇÕES EM GRAFOS,"8,0","5,0","9,5",,,,"7,5",0,AM
4,DMAT/CCN034,ÁLGEBRA LINEAR,"4,0","4,0","5,0",,,"10,0","7,2",0,EF
4,DC/CCN031,ARQUITETURA DE COMPUTADORES,"7,0","6,5","6,5",,,"7,0","6,9",0,EF
4,DC/CCN025,BANCO DE DADOS,"10,0","9,0","9,0",,,,"9,3",0,AM
