Código,Disciplina,Unidade 1,Unidade 2,Unidade 3,Unidade 4,Unidade 5,Prova Final,Resultado,Faltas,Situação
DC/CCN067,TÓPICOS EM BIOINFORMÁTICA,"6,0","9,0","10,0",,,,"8,3",4,AM
DC/CCN067,TÓPICOS EM BIOINFORMÁTICA,"10,0","4,0","9,3",,,,"7,8",0,AM
DC/CCN067,TÓPICOS EM BIOINFORMÁTICA,"8,5","9,0","10,0",,,,"9,2",6,AM
DC/CCN071,TÓPICOS EM ENGENHARIA DE SOFTWARE,"9,4","9,0","7,5",,,,"8,6",12,AM
DC/CCN071,TÓPICOS EM ENGENHARIA DE SOFTWARE,"9,0","10,0","9,5",,,,"9,5",8,AM
DC/CCN074,TÓPICOS EM REDES DE COMPUTADORES,"7,8","10,0","10,0",,,,"9,3",4,AM
DC/CCN074,TÓPICOS EM REDES DE COMPUTADORES,"8,6","10,0","10,0",,,,"9,5",8,AM
DC/CCN081,VISÃO COMPUTACIONAL,"5,8","9,8","9,4",,,,"8,3",2,AM
DFIL/CCHL009,INTRODUÇÃO À METODOLOGIA CIENTÍFICA,"10,0","7,0","7,0",,,,"8,0",0,AM
DFIL/CCHL009,INTRODUÇÃO À METODOLOGIA CIENTÍFICA,"9,0","8,0","9,0",,,,"8,7",0,AM
DFIL/CCHL009,INTRODUÇÃO À METODOLOGIA CIENTÍFICA,"10,0","7,0","7,0",,,,"8,0",0,AM
DFIL/CCHL009,INTRODUÇÃO À METODOLOGIA CIENTÍFICA,"10,0","7,5","10,0",,,,"9,2",0,AM
DFIS/CCN020,ELETRICIDADE E MAGNETISMO,"6,0","9,0","10,0",,,,"8,3",10,AM
DMAT/CCN032,CÁLCULO DIFERENCIAL E INTEGRAL I,"6,5","10,0","7,0",,,,"7,8",0,AM
DMAT/CCN032,CÁLCULO DIFERENCIAL E INTEGRAL I,"8,0","10,0","10,0",,,,"9,3",0,AM
DMAT/CCN032,CÁLCULO DIFERENCIAL E INTEGRAL I,"8,8","9,6","6,7",,,,"8,4",0,AM
DMAT/CCN032,CÁLCULO DIFERENCIAL E INTEGRAL I,"6,8","9,4","8,7",,,,"8,3",0,AM
DMAT/CCN033,CÁLCULO DIFERENCIAL E INTEGRAL II,"9,3","9,2","9,3",,,,"9,3",0,AM
