AlunoID,Código,Unidade 1,Unidade 2,Unidade 3,Unidade 4,Unidade 5,Prova Final,Resultado,Faltas,Situação
4,DMAT/CCN034,"3,5","4,0","0,0",,,,"2,5",0,RN
4,DC/CCN031,"6,8","7,6","8,0",,,,"7,5",6,AM
4,DC/CCN025,"8,0","9,5","8,5",,,,"8,7",0,AM
4,DC/CCN027,"8,0","9,8","10,0",,,,"9,3",0,AM
4,DC/CCN028,"9,5","10,0","9,5",,,,"9,7",0,AM
4,DC/CCN029,"10,0","7,3","5,0",,,,"7,4",0,AM
4,DC/CCN022,"8,1","8,3","9,8",,,,"8,7",2,AM
4,DC/CCN024,"10,0","9,3","4,0",,,,"7,8",0,AM
4,CGBEST/CCN013,"8,8","9,0","9,5",,,,"9,1",0,AM
4,DC/CCN023,"8,4","5,8","8,5",,,,"7,6",0,AM
4,DMAT/CCN033,"10,0","6,7","5,7",,,,"7,5",0,AM
4,DMAT/CCN035,"7,0","7,0","7,0",,,,"7,0",0,AM
4,DMAT/CCN032,"8,8","7,1","10,0",,,,"8,6",2,AM
4,DC/CCN021,"7,4","7,4","7,4",,,,"7,4",0,AM
4,CLE/CCHL002,"9,3","10,0","10,0",,,,"9,8",0,AM
4,DC/CCN019,"7,5","9,0","8,8",,,,"8,4",2,AM
4,DFIL/CCHL009,"8,3","7,5","8,0",,,,"7,9",0,AM
4,DC/CCN026,"6,8","9,0","8,9",,,,"8,2",2,AM
4,DC/CCN020,"8,0",,,,,,"8,0",6,AM
5,DC/CCN043,"3,2","8,2","7,0",,,"5,7","5,9",4,RN
5,DC/CCN071,"7,1","8,0","10,0",,,,"8,4",2,AM
5,DC/CCN073,"7,5","4,5","8,0",,,"9,9","8,3",0,AM
5,DC/CCN081,"5,2","6,1","8,0",,,"0,9","3,6",0,RN
5,DC/CCN042,"9,2","8,0","6,4",,,,"7,9",4,AM
5,DC/CCN044,"1,7","5,4","9,2",,,"8,2","6,8",8,AM
5,DC/CCN038,"7,2","8,0","7,0",,,,"7,4",6,AM
5,DC/CCN058,"5,7","6,4","10,0",,,,"7,4",2,AM
5,DC/CCN067,"3,3","6,9","9,0",,,"6,2","6,3",2,AM
5,DC/CCN041,"9,5","7,0","6,3",,,,"7,6",6,AM
